id,pedido_id,produto_id,quantidade,unidade,janela_mes,janela_ano,formato_entrega,local_entrega,condicao_pagamento,preco_unitario,subtotal,created_at,updated_at
5,3,8,37.77,L,5,2026,FOB,Filial LDC Rondonópolis,À vista,44.08,1664.9,2025-10-05T00:00:00,2026-02-19T00:00:00
6,4,18,23.36,t,5,2026,CIF,Filial LDC Sorriso,30 dias,3999.85,93436.5,2025-10-06T00:00:00,2026-02-19T00:00:00
7,5,4,68.62,L,5,2026,FOB,Filial LDC Rondonópolis,60 dias,87.32,5991.9,2025-10-07T00:00:00,2026-02-19T00:00:00
8,6,11,84.06,L,5,2026,FOB,Porto Seco Rio Verde,60 dias,82.21,6910.57,2025-10-08T00:00:00,2026-02-19T00:00:00
9,7,2,77.94,L,1,2026,FOB,Armazém Fazenda,30 dias,26.77,2086.45,2025-10-09T00:00:00,2026-02-19T00:00:00
10,7,1,93.68,L,1,2026,Entrega Programada,Filial LDC Rondonópolis,30 dias,178.77,16747.17,2025-10-09T00:00:00,2026-02-19T00:00:00
11,8,18,14.46,t,5,2026,CIF,Armazém Fazenda,30 dias,3999.85,57837.83,2025-10-10T00:00:00,2026-02-19T00:00:00
12,8,5,9.14,L,2,2026,FOB,Filial LDC Sorriso,90 dias,243.13,2222.21,2025-10-10T00:00:00,2026-02-19T00:00:00
13,9,2,46.93,L,1,2026,CIF,Filial LDC Rondonópolis,90 dias,28.92,1357.22,2025-10-11T00:00:00,2026-02-19T00:00:00
14,10,4,94.71,L,5,2026,FOB,Filial LDC Sorriso,90 dias,90.68,8588.3,2025-10-12T00:00:00,2026-02-19T00:00:00
15,11,6,106.36,L,1,2026,CIF,Filial LDC Sorriso,30 dias,195.03,20743.39,2025-10-13T00:00:00,2026-02-19T00:00:00
16,12,14,7.4,t,1,2026,Entrega Programada,Armazém Fazenda,60 dias,2824.79,20903.45,2025-10-14T00:00:00,2026-02-19T00:00:00
17,12,13,21.61,t,2,2026,CIF,Filial LDC Sorriso,À vista,2450.09,52946.44,2025-10-14T00:00:00,2026-02-19T00:00:00
18,13,10,30.64,L,4,2026,Entrega Programada,Filial LDC Sorriso,30 dias,30.64,938.81,2025-10-15T00:00:00,2026-02-19T00:00:00
19,13,13,7.69,t,2,2026,CIF,Filial LDC Rondonópolis,60 dias,2626.9,20200.86,2025-10-15T00:00:00,2026-02-19T00:00:00
20,14,18,23.54,t,5,2026,CIF,Filial LDC Rondonópolis,30 dias,3999.85,94156.47,2025-10-16T00:00:00,2026-02-19T00:00:00
21,14,6,9.4,L,1,2026,Entrega Programada,Porto Seco Rio Verde,30 dias,195.03,1833.28,2025-10-16T00:00:00,2026-02-19T00:00:00
22,15,14,10.24,t,1,2026,Entrega Programada,Filial LDC Sorriso,30 dias,2716.14,27813.27,2025-10-17T00:00:00,2026-02-19T00:00:00
23,15,9,86.51,L,1,2026,CIF,Filial LDC Sorriso,À vista,131.32,11360.49,2025-10-17T00:00:00,2026-02-19T00:00:00
24,16,14,23.77,t,1,2026,FOB,Filial LDC Rondonópolis,30 dias,2716.14,64562.65,2025-10-18T00:00:00,2026-02-19T00:00:00
25,16,4,108.51,L,5,2026,Entrega Programada,Filial LDC Rondonópolis,60 dias,87.32,9475.09,2025-10-18T00:00:00,2026-02-19T00:00:00
26,17,11,85.18,L,5,2026,Entrega Programada,Filial LDC Sorriso,À vista,76.68,6531.6,2025-10-19T00:00:00,2026-02-19T00:00:00
27,17,7,81.47,L,3,2026,FOB,Filial LDC Sorriso,60 dias,253.91,20686.05,2025-10-19T00:00:00,2026-02-19T00:00:00
28,18,13,8.29,t,2,2026,CIF,Porto Seco Rio Verde,À vista,2450.09,20311.25,2025-10-20T00:00:00,2026-02-19T00:00:00
29,18,11,55.81,L,5,2026,Entrega Programada,Filial LDC Sorriso,À vista,76.68,4279.51,2025-10-20T00:00:00,2026-02-19T00:00:00
30,19,6,37.64,L,1,2026,Entrega Programada,Filial LDC Rondonópolis,30 dias,195.03,7340.93,2025-10-21T00:00:00,2026-02-19T00:00:00
31,19,3,82.37,L,6,2026,CIF,Filial LDC Sorriso,60 dias,107.17,8827.59,2025-10-21T00:00:00,2026-02-19T00:00:00
32,20,2,118.15,L,1,2026,Entrega Programada,Armazém Fazenda,30 dias,26.77,3162.88,2025-10-22T00:00:00,2026-02-19T00:00:00
33,21,14,18.24,t,1,2026,FOB,Porto Seco Rio Verde,60 dias,2824.79,51524.17,2025-10-23T00:00:00,2026-02-19T00:00:00
34,21,13,4.54,t,2,2026,Entrega Programada,Armazém Fazenda,À vista,2450.09,11123.41,2025-10-23T00:00:00,2026-02-19T00:00:00
35,22,14,5.22,t,1,2026,Entrega Programada,Porto Seco Rio Verde,60 dias,2824.79,14745.4,2025-10-24T00:00:00,2026-02-19T00:00:00
36,23,4,20.33,L,5,2026,FOB,Filial LDC Rondonópolis,90 dias,90.68,1843.52,2025-10-25T00:00:00,2026-02-19T00:00:00
37,24,18,22.53,t,5,2026,Entrega Programada,Porto Seco Rio Verde,30 dias,3999.85,90116.62,2025-10-26T00:00:00,2026-02-19T00:00:00
38,24,15,19.04,t,2,2026,Entrega Programada,Filial LDC Rondonópolis,30 dias,4210.13,80160.88,2025-10-26T00:00:00,2026-02-19T00:00:00
39,25,8,55.59,L,5,2026,Entrega Programada,Filial LDC Rondonópolis,À vista,44.08,2450.41,2025-10-27T00:00:00,2026-02-19T00:00:00
40,25,8,43.62,L,5,2026,Entrega Programada,Armazém Fazenda,À vista,44.08,1922.77,2025-10-27T00:00:00,2026-02-19T00:00:00
