id,produto_id,janela_mes,janela_ano,condicao_pagamento,preco,vigente_de,vigente_ate,created_at,updated_at
1,1,1,2026,90 dias,193.08,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
2,1,1,2026,30 dias,178.77,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
3,2,1,2026,30 dias,26.77,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
4,2,1,2026,90 dias,28.92,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
5,3,6,2026,60 dias,107.17,2026-06-01,2026-06-28,2025-08-13T00:00:00,2026-02-14T00:00:00
6,3,6,2026,À vista,99.96,2026-06-01,2026-06-28,2025-08-13T00:00:00,2026-02-14T00:00:00
7,4,2,2026,90 dias,86.83,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
8,4,5,2026,90 dias,90.68,2026-05-01,2026-05-28,2025-08-13T00:00:00,2026-02-14T00:00:00
9,4,5,2026,60 dias,87.32,2026-05-01,2026-05-28,2025-08-13T00:00:00,2026-02-14T00:00:00
10,5,1,2026,30 dias,221.79,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
11,5,2,2026,30 dias,225.12,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
12,5,2,2026,90 dias,243.13,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
13,6,1,2026,30 dias,195.03,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
14,7,3,2026,60 dias,253.91,2026-03-01,2026-03-28,2025-08-13T00:00:00,2026-02-14T00:00:00
15,8,2,2026,À vista,42.21,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
16,8,5,2026,À vista,44.08,2026-05-01,2026-05-28,2025-08-13T00:00:00,2026-02-14T00:00:00
17,9,1,2026,À vista,131.32,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
18,10,4,2026,30 dias,30.64,2026-04-01,2026-04-28,2025-08-13T00:00:00,2026-02-14T00:00:00
19,10,1,2026,90 dias,31.67,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
20,10,1,2026,30 dias,29.33,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
21,11,5,2026,60 dias,82.21,2026-05-01,2026-05-28,2025-08-13T00:00:00,2026-02-14T00:00:00
22,11,5,2026,À vista,76.68,2026-05-01,2026-05-28,2025-08-13T00:00:00,2026-02-14T00:00:00
23,12,2,2026,30 dias,144.64,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
24,12,2,2026,À vista,140.3,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
25,12,1,2026,30 dias,142.5,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
26,13,2,2026,À vista,2450.09,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
27,13,2,2026,60 dias,2626.9,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
28,14,1,2026,30 dias,2716.14,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
29,14,1,2026,60 dias,2824.79,2026-01-01,2026-01-28,2025-08-13T00:00:00,2026-02-14T00:00:00
30,14,2,2026,À vista,2674.18,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
31,14,2,2026,60 dias,2867.16,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
32,15,2,2026,60 dias,4378.54,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
33,15,2,2026,30 dias,4210.13,2026-02-01,2026-02-28,2025-08-13T00:00:00,2026-02-14T00:00:00
34,15,6,2026,90 dias,4815.73,2026-06-01,2026-06-28,2025-08-13T00:00:00,2026-02-14T00:00:00
35,16,5,2026,30 dias,3826.15,2026-05-01,2026-05-28,2025-08-13T00:00:00,2026-02-14T00:00:00
36,16,6,2026,60 dias,4035.5,2026-06-01,2026-06-28,2025-08-13T00:00:00,2026-02-14T00:00:00
37,17,6,2026,À vista,2826.2,2026-06-01,2026-06-28,2025-08-13T00:00:00,2026-02-14T00:00:00
38,18,5,2026,30 dias,3999.85,2026-05-01,2026-05-28,2025-08-13T00:00:00,2026-02-14T00:00:00
39,1,1,2027,90 dias,200.8,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
40,1,1,2027,30 dias,185.92,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
41,2,1,2027,30 dias,27.84,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
42,2,1,2027,90 dias,30.08,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
43,3,6,2027,60 dias,111.46,2027-06-01,2027-06-28,2026-08-25T00:00:00,2026-08-25T00:00:00
44,3,6,2027,À vista,103.96,2027-06-01,2027-06-28,2026-08-25T00:00:00,2026-08-25T00:00:00
45,4,2,2027,90 dias,90.3,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
46,4,5,2027,90 dias,94.31,2027-05-01,2027-05-28,2026-08-25T00:00:00,2026-08-25T00:00:00
47,4,5,2027,60 dias,90.81,2027-05-01,2027-05-28,2026-08-25T00:00:00,2026-08-25T00:00:00
48,5,1,2027,30 dias,230.66,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
49,5,2,2027,30 dias,234.12,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
50,5,2,2027,90 dias,252.86,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
51,6,1,2027,30 dias,202.83,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
52,7,3,2027,60 dias,264.07,2027-03-01,2027-03-28,2026-08-25T00:00:00,2026-08-25T00:00:00
53,8,2,2027,À vista,43.9,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
54,8,5,2027,À vista,45.84,2027-05-01,2027-05-28,2026-08-25T00:00:00,2026-08-25T00:00:00
55,9,1,2027,À vista,136.57,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
56,10,4,2027,30 dias,31.87,2027-04-01,2027-04-28,2026-08-25T00:00:00,2026-08-25T00:00:00
57,10,1,2027,90 dias,32.94,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
58,10,1,2027,30 dias,30.5,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
59,11,5,2027,60 dias,85.5,2027-05-01,2027-05-28,2026-08-25T00:00:00,2026-08-25T00:00:00
60,11,5,2027,À vista,79.75,2027-05-01,2027-05-28,2026-08-25T00:00:00,2026-08-25T00:00:00
61,12,2,2027,30 dias,150.43,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
62,12,2,2027,À vista,145.91,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
63,12,1,2027,30 dias,148.2,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
64,13,2,2027,À vista,2548.09,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
65,13,2,2027,60 dias,2731.98,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
66,14,1,2027,30 dias,2824.79,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
67,14,1,2027,60 dias,2937.78,2027-01-01,2027-01-28,2026-08-25T00:00:00,2026-08-25T00:00:00
68,14,2,2027,À vista,2781.15,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
69,14,2,2027,60 dias,2981.85,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
70,15,2,2027,60 dias,4553.68,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
71,15,2,2027,30 dias,4378.54,2027-02-01,2027-02-28,2026-08-25T00:00:00,2026-08-25T00:00:00
72,15,6,2027,90 dias,5008.36,2027-06-01,2027-06-28,2026-08-25T00:00:00,2026-08-25T00:00:00
73,16,5,2027,30 dias,3979.2,2027-05-01,2027-05-28,2026-08-25T00:00:00,2026-08-25T00:00:00
74,16,6,2027,60 dias,4196.92,2027-06-01,2027-06-28,2026-08-25T00:00:00,2026-08-25T00:00:00
75,17,6,2027,À vista,2939.25,2027-06-01,2027-06-28,2026-08-25T00:00:00,2026-08-25T00:00:00
76,18,5,2027,30 dias,4159.84,2027-05-01,2027-05-28,2026-08-25T00:00:00,2026-08-25T00:00:00
