id,cliente_id,produto_id,motivo,score,aceita,gerada_em,created_at,updated_at
1,1,14,Sazonalidade,0.656,0,2026-01-16T00:00:00,2026-01-08T00:00:00,2026-02-24T00:00:00
2,2,24,Sazonalidade,0.454,0,2026-01-20T00:00:00,2026-01-25T00:00:00,2026-02-24T00:00:00
3,3,13,MixRegional,0.7229,1,2026-01-18T00:00:00,2026-02-01T00:00:00,2026-02-24T00:00:00
4,4,15,Sazonalidade,0.4645,0,2026-02-15T00:00:00,2026-01-30T00:00:00,2026-02-24T00:00:00
5,5,11,Sazonalidade,0.8296,1,2026-01-06T00:00:00,2026-02-02T00:00:00,2026-02-24T00:00:00
6,6,3,MixRegional,0.6463,0,2026-02-06T00:00:00,2026-02-14T00:00:00,2026-02-24T00:00:00
7,7,3,MixRegional,0.8422,1,2026-02-27T00:00:00,2026-02-13T00:00:00,2026-02-24T00:00:00
8,7,7,MixRegional,0.8787,1,2026-02-20T00:00:00,2026-01-29T00:00:00,2026-02-24T00:00:00
9,8,4,Historico,0.7053,0,2026-02-12T00:00:00,2026-01-10T00:00:00,2026-02-24T00:00:00
10,8,12,MixRegional,0.4557,0,2026-01-14T00:00:00,2026-02-21T00:00:00,2026-02-24T00:00:00
11,9,10,Historico,0.4181,0,2026-01-23T00:00:00,2026-01-16T00:00:00,2026-02-24T00:00:00
12,10,13,Historico,0.9431,1,2026-01-15T00:00:00,2026-01-06T00:00:00,2026-02-24T00:00:00
13,11,8,Sazonalidade,0.4142,0,2026-01-21T00:00:00,2026-01-08T00:00:00,2026-02-24T00:00:00
14,11,4,MixRegional,0.8516,0,2026-02-06T00:00:00,2026-01-25T00:00:00,2026-02-24T00:00:00
15,12,22,MixRegional,0.5835,0,2026-02-28T00:00:00,2026-01-05T00:00:00,2026-02-24T00:00:00
16,13,16,Sazonalidade,0.4165,0,2026-01-06T00:00:00,2026-01-30T00:00:00,2026-02-24T00:00:00
17,14,5,MixRegional,0.6244,0,2026-01-18T00:00:00,2026-02-11T00:00:00,2026-02-24T00:00:00
18,14,20,MixRegional,0.8592,0,2026-01-30T00:00:00,2026-02-01T00:00:00,2026-02-24T00:00:00
19,15,19,Historico,0.5191,0,2026-02-23T00:00:00,2026-02-11T00:00:00,2026-02-24T00:00:00
20,15,15,Sazonalidade,0.5036,0,2026-01-17T00:00:00,2026-02-04T00:00:00,2026-02-24T00:00:00
21,16,1,Sazonalidade,0.6614,1,2026-02-15T00:00:00,2026-02-06T00:00:00,2026-02-24T00:00:00
22,17,11,MixRegional,0.5262,0,2026-02-11T00:00:00,2026-01-24T00:00:00,2026-02-24T00:00:00
23,18,17,Historico,0.9473,1,2026-02-02T00:00:00,2026-01-28T00:00:00,2026-02-24T00:00:00
24,19,25,Sazonalidade,0.5014,0,2026-01-28T00:00:00,2026-01-31T00:00:00,2026-02-24T00:00:00
25,19,1,Historico,0.4086,0,2026-02-13T00:00:00,2026-02-09T00:00:00,2026-02-24T00:00:00
26,20,19,MixRegional,0.5825,0,2026-02-01T00:00:00,2026-01-12T00:00:00,2026-02-24T00:00:00
27,20,18,MixRegional,0.5584,0,2026-02-09T00:00:00,2026-02-12T00:00:00,2026-02-24T00:00:00
